obs,lat,lon,altitude,time,air_temp,dew_point,rel_hum,mixing_ratio,air_press,air_rho,gpt,gpt_height,wind_speed,wind_dir,sensible_heat,latent_heat
82,46.812244,6.943997,698.22875,2023-03-27 02:58:35.174137931,4.336201000000017,1.0379899985300085,79.4215743744553,0.004450620178081,93266.08333333334,1.167742681706301,6846.5329463149565,698.1520648044905,5.327979657073521,250.38142755084712,-0.9892588108938756,-8.372732231592948
83,46.812244,6.943997,700.1324999999999,2023-03-27 02:58:35.554310344,4.333977500000003,1.0153601666111172,79.30680153101632,0.0044447231024741,93240.38333333332,1.167434417447697,6865.198250033531,700.0553960866893,5.346228223311003,251.11546219522688,-1.3703319129777791,-8.792293716408498
84,46.812244,6.943997,703.2962499999999,2023-03-27 02:58:35.934482758,4.315680000000043,0.9853322033342806,79.23838974732465,0.004437054904579,93200.79166666669,1.1670210468189566,6896.217190319475,703.2184477185864,5.352594874159055,251.27680733130387,-6.783195714639662,-6.877310353994189
85,46.812244,6.943997,705.245,2023-03-27 02:58:36.314655172,4.305505000000039,0.9757207004644215,79.24049824804186,0.0044347852122615,93183.63333333332,1.166850560992529,6915.3236656324825,705.16676598354,5.344029965078897,251.27511258411704,-6.122934178518507,-3.304297763169431
86,46.812244,6.9439974,708.2475,2023-03-27 02:58:36.694827586,4.300289000000021,0.963234076375727,79.19981483954481,0.0044329802521003,93138.83333333331,1.1663127443376762,6944.761586068295,708.1685984580153,5.352004676180214,251.44617991603357,-2.0362713441590783,-1.7047255298317183
87,46.812244,6.9439974,710.36,2023-03-27 02:58:37.075000000,4.294748220833355,0.959660358614201,79.21040818253363,0.0044332235675232,93109.55,1.1659691496250697,6965.473511759122,710.2806271009083,5.39220617874946,252.11350065502387,-3.0734577330584743,0.3265242907002007
88,46.812244,6.9439974,713.30125,2023-03-27 02:58:37.455172413,4.2778392666666605,0.95623628970867,79.28407158686414,0.0044333224658087,93082.44166666668,1.1657006236821932,6994.310862297279,713.2212184892169,5.40036929326436,252.82813203421432,-6.7350046102797805,0.0953013862551991
89,46.812244,6.9439974,715.1583333333333,2023-03-27 02:58:37.835344827,4.270458000000019,0.951850399982618,79.3003458765273,0.0044327173078479,93065.23333333334,1.1655165280861497,7012.518536803796,715.0778845787089,5.395495203702104,253.49355973491816,-4.655689426808845,-0.9234457365590046
90,46.812244,6.943997,718.1308333333334,2023-03-27 02:58:38.215517241,4.2587725000000205,0.9440306595429888,79.32087526051322,0.0044316213750983,93035.15,1.165189598702035,7041.662232395764,718.0497144688312,5.359821588225881,253.8785773730235,-4.603499468767002,-1.0445156754157618
91,46.812244,6.943997,720.4841666666666,2023-03-27 02:58:38.595689655,4.2482555000000275,0.9351499908758001,79.3286382521165,0.0044301867837666,93005.39166666663,1.1648620615417216,7064.735326706202,720.4025153040235,5.321433514312922,254.48297502935185,-5.231774181051007,-1.7265401102627922
92,46.812244,6.943997,722.9629166666666,2023-03-27 02:58:38.975862068,4.241129999999998,0.9187965427793188,79.27650475830734,0.004426550757186,92973.27916666667,1.1644923053397391,7089.0380416009175,722.8807025437757,5.308824894068758,254.8869909409918,-3.3642270786919823,-4.153273709509674
93,46.812244,6.9439974,725.8945833333333,2023-03-27 02:58:39.356034482,4.225773891666677,0.8967138312328302,79.23792371817083,0.0044211678748203,92938.95,1.1641304966190125,7117.781318870757,725.8117011283932,5.273067646672641,254.9546749760338,-6.128219416823259,-5.197152659155979
94,46.812244,6.9439974,728.0025,2023-03-27 02:58:39.736206896,4.210473000000036,0.8741479782332817,79.19655789391769,0.0044152397918751,92912.975,1.163873434174138,7138.448192725201,727.9191357624878,5.239242593088578,255.455899826382,-8.490536234034394,-7.95856902328924
95,46.812244,6.9439974,730.7262499999999,2023-03-27 02:58:40.116379310,4.194370000000049,0.8488440683133263,79.14519215804391,0.0044087938024789,92879.9875,1.1635321867172983,7165.152927200721,730.6422608332837,5.163428769406189,256.16698754330173,-6.913277869380189,-6.695368633776637
96,46.812244,6.9439974,733.1970833333332,2023-03-27 02:58:40.496551724,4.182314000000019,0.832623198618478,79.12084963479666,0.0044047507312199,92856.79583333334,1.1632950281599417,7189.377945718061,733.1125252474659,5.1117839854358325,256.479303097476,-5.704475528010742,-4.628455576088573
97,46.812244,6.9439974,735.55,2023-03-27 02:58:40.876724137,4.18182900000005,0.8234704131708099,79.07243377647364,0.0044031647999114,92830.21666666667,1.1629651956165885,7212.446845510897,735.4648983608977,5.0687424931991965,256.9514397067944,-0.2409172915060197,-1.9060103821933272
98,46.812244,6.9439974,738.0433333333333,2023-03-27 02:58:41.256896551,4.178210700000022,0.8126766999681081,79.03341916613256,0.0044010519790633,92803.475,1.1626467690697435,7236.892425665103,737.9576538027873,5.039355427108966,257.78887206454425,-1.695657284176595,-2.3955896956463403
99,46.812244,6.943997,741.1770833333333,2023-03-27 02:58:41.637068965,4.166072550000024,0.8069860540700233,79.06876072617993,0.004401136550753,92762.70833333331,1.1621868058950615,7267.6168651049375,741.090674705933,5.006048098689606,258.2822184005786,-4.524078744911506,0.0762640378282329
